ID	FEMALE	SES	SCHTYP	PROG	READ	WRITE	MATH	SCIENCE	SOCST	HONORS	AWARDS	CID
112	1	2	1	2	52	59	48	55	61	0	2	11
48	0	2	1	2	57	55	52	50	51	0	2	11
147	1	1	1	2	47	62	53	53	61	1	3	11
7	0	2	1	2	57	54	59	47	51	0	1	11
65	1	2	1	2	55	54	66	42	56	0	1	12
168	0	2	1	2	52	54	57	55	51	0	1	12
190	1	2	2	2	47	59	54	58	46	0	2	12
178	0	2	2	3	47	57	57	58	46	0	2	12
159	0	3	1	2	55	61	54	49	61	1	3	12
120	1	3	1	2	63	52	54	50	51	0	1	12
116	1	2	1	2	57	59	54	50	56	0	2	12
79	1	2	1	2	60	62	49	50	51	1	3	12
98	1	1	1	3	57	60	51	53	37	1	2	12
122	1	2	1	2	52	59	58	53	66	0	2	12
179	1	2	2	2	47	65	60	50	56	1	5	13
198	1	3	2	2	47	61	51	63	31	1	3	13
189	0	2	2	2	47	59	63	53	46	0	2	13
199	0	3	2	2	52	59	50	61	61	0	2	13
156	1	2	1	2	50	59	53	61	61	0	2	13
166	1	2	1	2	52	59	53	61	51	0	2	13
160	1	2	1	2	55	65	55	50	61	1	5	13
152	1	3	1	2	55	57	56	58	61	0	2	13
183	0	2	2	2	63	59	49	55	71	0	2	13
94	0	3	1	2	55	49	61	61	56	0	0	14
149	0	1	1	1	63	49	49	66	46	0	0	14
131	1	3	1	2	65	59	57	46	66	0	2	14
24	0	2	1	2	52	62	66	47	46	1	3	14
99	1	3	1	1	47	59	56	66	61	0	2	14
171	0	2	1	2	60	54	60	55	66	0	1	14
104	0	3	1	2	54	63	57	55	46	1	4	14
81	0	1	1	2	63	43	59	65	44	0	0	14
97	0	3	1	2	60	54	58	58	61	0	1	14
20	0	3	1	2	60	52	57	61	61	0	1	14
163	1	1	1	2	52	57	64	58	56	0	2	15
195	0	2	2	1	57	57	60	58	56	0	2	15
84	0	2	1	1	63	57	54	58	51	0	2	15
27	0	2	1	2	53	61	61	57	56	1	3	15
118	1	2	1	1	55	62	58	58	61	1	3	15
71	1	2	1	1	57	62	56	58	66	1	3	15
63	1	1	1	1	52	65	60	56	51	1	5	15
185	0	2	2	2	63	57	55	58	41	0	2	15
127	0	3	1	2	63	59	57	55	56	0	2	15
177	0	2	2	2	55	59	62	58	51	0	2	15
188	1	3	2	2	63	62	56	55	61	1	3	16
60	0	2	1	2	57	65	51	63	61	1	5	16
66	1	2	1	3	68	62	56	50	51	1	3	16
173	1	1	1	1	50	62	61	63	51	1	3	16
186	1	2	2	2	57	62	63	55	41	1	3	16
96	1	3	1	2	65	54	61	58	56	0	1	16
101	1	3	1	2	60	62	67	50	56	1	3	16
3	0	1	1	2	63	65	48	63	56	1	5	16
170	0	3	1	2	47	62	61	69	66	1	3	16
92	1	3	1	1	52	67	57	63	61	1	7	16
62	0	3	1	1	65	65	48	63	66	1	5	16
135	1	1	1	2	63	60	65	54	66	1	2	17
26	1	3	1	2	60	59	62	61	51	0	2	17
139	1	2	1	2	68	59	61	55	71	0	2	17
121	1	2	1	3	68	59	53	63	61	0	2	17
144	0	3	1	1	60	65	58	61	66	1	5	17
146	0	3	1	2	55	62	64	63	66	1	3	17
137	1	3	1	2	63	65	65	53	61	1	5	17
123	0	3	1	1	68	59	56	63	66	0	2	18
169	0	1	1	1	55	59	63	69	46	0	2	18
34	1	3	2	2	73	61	57	55	66	1	3	18
33	1	1	1	2	57	65	72	54	56	1	5	18
32	1	3	1	3	50	67	66	66	56	1	7	18
114	0	3	1	2	68	65	62	55	61	1	5	18
125	1	1	1	2	68	65	58	59	56	1	5	18
59	1	2	1	2	65	67	63	55	71	1	7	18
23	1	1	1	2	65	65	64	58	71	1	5	18
161	1	1	1	2	57	62	72	61	61	1	3	18
103	0	3	1	2	76	52	64	64	61	0	1	19
194	1	3	2	2	63	63	69	61	61	1	4	19
136	0	2	1	2	65	59	70	63	51	0	2	19
154	0	3	1	2	65	65	66	61	66	1	5	19
157	0	2	1	1	68	59	58	74	66	0	2	19
93	1	3	1	2	73	67	62	58	66	1	7	19
39	1	3	1	2	66	67	67	61	66	1	7	19
88	1	3	1	2	68	60	64	69	66	1	2	19
192	0	3	2	2	65	67	63	66	71	1	7	19
80	0	3	1	2	65	62	68	66	66	1	3	19
200	0	2	2	2	68	54	75	66	66	0	1	19
180	1	3	2	2	71	65	69	58	71	1	5	20
82	1	3	1	2	68	62	65	69	61	1	3	20
174	0	2	2	2	68	59	71	66	56	0	2	20
95	0	3	1	2	73	60	71	61	71	1	2	20
61	1	3	1	2	76	63	60	67	66	1	4	20
100	1	3	1	2	63	65	71	69	71	1	5	20
143	0	2	1	3	63	63	75	72	66	1	4	20
68	0	2	1	2	73	67	71	63	66	1	7	20
57	1	2	1	2	71	65	72	66	56	1	5	20
132	0	2	1	2	73	62	73	69	66	1	3	20
